type,id,title,publishedTime,duration,viewCount->text,viewCount->short,thumbnails->0->url,thumbnails->0->width,thumbnails->0->height,thumbnails->1->url,thumbnails->1->width,thumbnails->1->height,richThumbnail->url,richThumbnail->width,richThumbnail->height,descriptionSnippet,channel->name,channel->id,channel->thumbnails->0->url,channel->thumbnails->0->width,channel->thumbnails->0->height,channel->link,accessibility->title,accessibility->duration,link,shelfTitle,videoCount,thumbnails->2->url,thumbnails->2->width,thumbnails->2->height,thumbnails->3->url,thumbnails->3->width,thumbnails->3->height,richThumbnail
video,gfDE2a7MKjA,Python Tutorial For Beginners In Hindi (With Notes) 🔥,7 months ago,11:52:24,"3,402,503 views",3.4M views,https://i.ytimg.com/vi/gfDE2a7MKjA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDCeV2mPYQ7swJ9PYLWDQvl9_eJVQ,360,202,https://i.ytimg.com/vi/gfDE2a7MKjA/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA428e-7kXt1u7VnYKIRG2tAg55DQ,720.0,404.0,https://i.ytimg.com/an_webp/gfDE2a7MKjA/mqdefault_6s.webp?du=3000&sqp=CKDR-4QG&rs=AOn4CLCwm7uM71tgFcJJ52K9CCGkUkTGHQ,320.0,180.0,,CodeWithHarry,UCeVMnSShP_Iviwkknt83cww,https://yt3.ggpht.com/ytc/AAUvwnjeHnMHZ7T341QLHqPhQPfsG6ugvg_SV6z6FkYqGw=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UCeVMnSShP_Iviwkknt83cww,"Python Tutorial For Beginners In Hindi (With Notes) 🔥 by CodeWithHarry 7 months ago 11 hours, 52 minutes 3,402,503 views","11 hours, 52 minutes, 24 seconds",https://www.youtube.com/watch?v=gfDE2a7MKjA,,,,,,,,,
video,_uQrJ0TkZlc,Python Tutorial - Python for Beginners [Full Course],2 years ago,6:14:07,"18,198,577 views",18M views,https://i.ytimg.com/vi/_uQrJ0TkZlc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQfkbApoaN-_QBOuiyHzWJOiziEA,360,202,https://i.ytimg.com/vi/_uQrJ0TkZlc/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCpUFKfUMVNbg8mqTcZ8UdSUjpilw,720.0,404.0,https://i.ytimg.com/an_webp/_uQrJ0TkZlc/mqdefault_6s.webp?du=3000&sqp=CKeZ-4QG&rs=AOn4CLD1TjJj_7z51Ki9dqcq5Biy9vtPug,320.0,180.0,,Programming with Mosh,UCWv7vMbMWH4-V0ZXdmDpPBA,https://yt3.ggpht.com/ytc/AAUvwnj82Lirw0dg6V5pJWAcWdG22OESyldUcDwAFEqQWg=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA,"Python Tutorial - Python for Beginners [Full Course] by Programming with Mosh 2 years ago 6 hours, 14 minutes 18,198,577 views","6 hours, 14 minutes, 7 seconds",https://www.youtube.com/watch?v=_uQrJ0TkZlc,,,,,,,,,
video,rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial],2 years ago,4:26:52,"24,003,417 views",24M views,https://i.ytimg.com/vi/rfscVS0vtbw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD-9-7sK2ChwTaU2oDci15jO7wEDg,360,202,https://i.ytimg.com/vi/rfscVS0vtbw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABBQtpk83-Gm8-IgPAiGlTtrLH9w,720.0,404.0,https://i.ytimg.com/an_webp/rfscVS0vtbw/mqdefault_6s.webp?du=3000&sqp=CJyq-4QG&rs=AOn4CLDKCziik0uAvuhonm32cZTjVwsHKw,320.0,180.0,,freeCodeCamp.org,UC8butISFwT-Wl7EV0hUK0BQ,https://yt3.ggpht.com/ytc/AAUvwnifaQZvAunS0OFb2y_cieoVjLCVjqQW8Exf3BC1gg=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,"Learn Python - Full Course for Beginners [Tutorial] by freeCodeCamp.org 2 years ago 4 hours, 26 minutes 24,003,417 views","4 hours, 26 minutes, 52 seconds",https://www.youtube.com/watch?v=rfscVS0vtbw,,,,,,,,,
playlist,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3,Python Tutorial for Beginners (Full Course),,,,,https://i.ytimg.com/vi/QXeEoD0pB3E/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLADTlU-Zp91LJN1n_JYo4EWYaBZHg,168,94,https://i.ytimg.com/vi/QXeEoD0pB3E/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDi0NZYUUqmiPH_lcIc-aLedxVjMA,196.0,110.0,,,,,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,,,,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg,,,https://www.youtube.com/playlist?list=PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3,,110,https://i.ytimg.com/vi/QXeEoD0pB3E/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBBpA479qTBzEaAOn3crVRy7y36Rw,246.0,138.0,https://i.ytimg.com/vi/QXeEoD0pB3E/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDFfxTTv31qjpdalu6WVYgDswHgcg,336.0,188.0,
video,WGJJIrtnfpk,Python Full Course - Learn Python in 12 Hours | Python Tutorial For Beginners | Edureka,1 year ago,11:56:22,"2,984,978 views",2.9M views,https://i.ytimg.com/vi/WGJJIrtnfpk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBegYMR9C2xkqPgvsq0yYVJ1FR7Kw,360,202,https://i.ytimg.com/vi/WGJJIrtnfpk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAURKtGo-MLM14kbxOPGFqNBftnPg,720.0,404.0,https://i.ytimg.com/an_webp/WGJJIrtnfpk/mqdefault_6s.webp?du=3000&sqp=CMjQ-4QG&rs=AOn4CLChM2JszuiwoUTGYYQjxQjkO7qCIQ,320.0,180.0,,edureka!,UCkw4JCwteGrDHIsyIIKo4tQ,https://yt3.ggpht.com/ytc/AAUvwni7i_dF9urC5uwdLIRQU89f5H4krFAgJgywql8kiA=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UCkw4JCwteGrDHIsyIIKo4tQ,"Python Full Course - Learn Python in 12 Hours | Python Tutorial For Beginners | Edureka by edureka! 1 year ago 11 hours, 56 minutes 2,984,978 views","11 hours, 56 minutes, 22 seconds",https://www.youtube.com/watch?v=WGJJIrtnfpk,,,,,,,,,
video,eTyI-M50Hu4,Python Tutorial in Hindi | Learn Python in Hindi | Python Full Course in Hindi | Python Tutorial,1 year ago,4:25:16,"1,295,382 views",1.2M views,https://i.ytimg.com/vi/eTyI-M50Hu4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLClPvteVK8-iQz2S49T9bmtqZXXxQ,360,202,https://i.ytimg.com/vi/eTyI-M50Hu4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAi_ErSUKYr9prK3oJpN4juS4tZQA,720.0,404.0,https://i.ytimg.com/an_webp/eTyI-M50Hu4/mqdefault_6s.webp?du=3000&sqp=CPrQ-4QG&rs=AOn4CLDzlwL0SNWZjOYBRihjv-SgnDOiHg,320.0,180.0,,Great Learning,UCObs0kLIrDjX2LLSybqNaEA,https://yt3.ggpht.com/ytc/AAUvwnjdqghwtSP85aU3ISD3vFG7HupMhlnSVSvgeoGZRA=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UCObs0kLIrDjX2LLSybqNaEA,"Python Tutorial in Hindi | Learn Python in Hindi | Python Full Course in Hindi | Python Tutorial by Great Learning 1 year ago 4 hours, 25 minutes 1,295,382 views","4 hours, 25 minutes, 16 seconds",https://www.youtube.com/watch?v=eTyI-M50Hu4,,,,,,,,,
video,t8pPdKYpowI,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],2 months ago,5:31:30,"408,844 views",408K views,https://i.ytimg.com/vi/t8pPdKYpowI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDBBWEVe-XMQgtxlBNiti-4F1tlPw,360,202,https://i.ytimg.com/vi/t8pPdKYpowI/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAg-ArVjF42XbZm4NPk1fzdVFGxrA,720.0,404.0,https://i.ytimg.com/an_webp/t8pPdKYpowI/mqdefault_6s.webp?du=3000&sqp=CMLG-4QG&rs=AOn4CLBwiclpJfID5YRbq1MER6dmFarmcg,320.0,180.0,,TechWorld with Nana,UCdngmbVKX1Tgre699-XLlUA,https://yt3.ggpht.com/ytc/AAUvwnixetLSCCMBOgtp4bGatGQK813L2q-7afDxzmea7w=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UCdngmbVKX1Tgre699-XLlUA,"Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE] by TechWorld with Nana 2 months ago 5 hours, 31 minutes 408,844 views","5 hours, 31 minutes, 30 seconds",https://www.youtube.com/watch?v=t8pPdKYpowI,,,,,,,,,
video,kqtD5dpn9C8,Python Tutorial for Beginners - Learn Python in 1 Hour,7 months ago,1:00:06,"1,307,220 views",1.3M views,https://i.ytimg.com/vi/kqtD5dpn9C8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD1iLVjsmE_gK2uZS887LgyThzx4Q,360,202,https://i.ytimg.com/vi/kqtD5dpn9C8/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDoYD4sT1l-1w5fEUQt6pdtsKdfLQ,720.0,404.0,https://i.ytimg.com/an_webp/kqtD5dpn9C8/mqdefault_6s.webp?du=3000&sqp=CK3U-4QG&rs=AOn4CLC9yd5amLxcwIuxbBYoVHSGRKDeeg,320.0,180.0,,Programming with Mosh,UCWv7vMbMWH4-V0ZXdmDpPBA,https://yt3.ggpht.com/ytc/AAUvwnj82Lirw0dg6V5pJWAcWdG22OESyldUcDwAFEqQWg=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA,"Python Tutorial for Beginners - Learn Python in 1 Hour by Programming with Mosh 7 months ago 1 hour 1,307,220 views","1 hour, 6 seconds",https://www.youtube.com/watch?v=kqtD5dpn9C8,,,,,,,,,
video,4F2m91eKmts,Python Tutorial for Beginners - Full Course in 11 Hours [2020],1 year ago,11:00:09,"2,052,966 views",2M views,https://i.ytimg.com/vi/4F2m91eKmts/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA-xXKxkdEcnQSRc2t89jCM32_R5g,360,202,https://i.ytimg.com/vi/4F2m91eKmts/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDaafw-b__ydDsmTRZgUB1sFb4i7A,720.0,404.0,https://i.ytimg.com/an_webp/4F2m91eKmts/mqdefault_6s.webp?du=3000&sqp=CO6g-4QG&rs=AOn4CLCStZM_DXRUwZCM5WgS-8wrTGoumA,320.0,180.0,,Clever Programmer,UCqrILQNl5Ed9Dz6CGMyvMTQ,https://yt3.ggpht.com/ytc/AAUvwniwccxGvXvGzzwka5f73aPbmdxvEX4G_cUd7TEzkw=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UCqrILQNl5Ed9Dz6CGMyvMTQ,"Python Tutorial for Beginners - Full Course in 11 Hours [2020] by Clever Programmer 1 year ago 11 hours 2,052,966 views","11 hours, 9 seconds",https://www.youtube.com/watch?v=4F2m91eKmts,,,,,,,,,
playlist,PLwgFb6VsUj_lQTpQKDtLXKXElQychT_2j,Complete Python tutorial in Hindi (2020),,,,,https://i.ytimg.com/vi/RAwntanK4wQ/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCApy_YexX0XoR4gQDtjY_QhC9KIQ,168,94,https://i.ytimg.com/vi/RAwntanK4wQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB3_xtiWEFDuH7ehuGjp3EHypjpCg,196.0,110.0,,,,,Harshit vashisth,UCrkQMtWNtuq-1j0q8c2RVeQ,,,,https://www.youtube.com/channel/UCrkQMtWNtuq-1j0q8c2RVeQ,,,https://www.youtube.com/playlist?list=PLwgFb6VsUj_lQTpQKDtLXKXElQychT_2j,,241,https://i.ytimg.com/vi/RAwntanK4wQ/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLA-Gxy1krgkAozQJBSFpHxgBFI8rg,246.0,138.0,https://i.ytimg.com/vi/RAwntanK4wQ/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDsexOyNmjEOkv2pjUUYd0d1R4Hww,336.0,188.0,
video,cdkzcNu4k34,Automate WhatsApp message || Hack WhatsApp || WhatsApp trick || Learn Python || Python Project,6 months ago,5:11,"477,492 views",477K views,https://i.ytimg.com/vi/cdkzcNu4k34/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAYXIh9QTn3I77g1sGzTrfD9j9HVA,360,202,https://i.ytimg.com/vi/cdkzcNu4k34/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDcDvhglEMRLjAm68kkGAzy448rpw,720.0,404.0,https://i.ytimg.com/an_webp/cdkzcNu4k34/mqdefault_6s.webp?du=3000&sqp=CPzL-4QG&rs=AOn4CLCBHUP7iIAUAWlC08SOnQD_ZLDovQ,320.0,180.0,,Programming Hero,UCStj-ORBZ7TGK1FwtGAUgbQ,https://yt3.ggpht.com/ytc/AAUvwnixvIQZRJsC-980VBOJCV2PoJl1KB5rV2zDr4zm=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UCStj-ORBZ7TGK1FwtGAUgbQ,"Automate WhatsApp message || Hack WhatsApp || WhatsApp trick || Learn Python || Python Project by Programming Hero 6 months ago 5 minutes, 11 seconds 477,492 views","5 minutes, 11 seconds",https://www.youtube.com/watch?v=cdkzcNu4k34,,,,,,,,,
video,XKHEtdqhLK8,Python Full Course 🐍 (𝙁𝙧𝙚𝙚),2 months ago,12:00:00,"222,468 views",222K views,https://i.ytimg.com/vi/XKHEtdqhLK8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBae20jEWLVRS7V81SCWosPrpdH9A,360,202,https://i.ytimg.com/vi/XKHEtdqhLK8/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAwiaYg15KmdfuYUhMbmDWXAoam8Q,720.0,404.0,https://i.ytimg.com/an_webp/XKHEtdqhLK8/mqdefault_6s.webp?du=3000&sqp=CMDa-4QG&rs=AOn4CLBYimyLer_hz9yNoPR6AhSxGPDtRg,320.0,180.0,,Bro Code,UC4SVo0Ue36XCfOyb5Lh1viQ,https://yt3.ggpht.com/ytc/AAUvwngkLa2K2hztBjibf2pUaX9jdT9ytpNdPJqvRUUniw=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UC4SVo0Ue36XCfOyb5Lh1viQ,"Python Full Course 🐍 (𝙁𝙧𝙚𝙚) by Bro Code 2 months ago 12 hours 222,468 views",12 hours,https://www.youtube.com/watch?v=XKHEtdqhLK8,,,,,,,,,
video,MoeQlmeJnPg,Downloading Python and Pycharm Installation | Python Tutorials For Absolute Beginners In Hindi #2,2 years ago,14:52,"934,092 views",934K views,https://i.ytimg.com/vi/MoeQlmeJnPg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB-7RiRb2kQgYe0URnbw69vETVe3w,360,202,https://i.ytimg.com/vi/MoeQlmeJnPg/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBEDqyWZAFa3I-ut_bAbOGwx-R6OA,720.0,404.0,https://i.ytimg.com/an_webp/MoeQlmeJnPg/mqdefault_6s.webp?du=3000&sqp=COi5-4QG&rs=AOn4CLD5gOdAlHVLTRwZGv3_p_4F5X7cYQ,320.0,180.0,,CodeWithHarry,UCeVMnSShP_Iviwkknt83cww,https://yt3.ggpht.com/ytc/AAUvwnjeHnMHZ7T341QLHqPhQPfsG6ugvg_SV6z6FkYqGw=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UCeVMnSShP_Iviwkknt83cww,"Downloading Python and Pycharm Installation | Python Tutorials For Absolute Beginners In Hindi #2 by CodeWithHarry 2 years ago 14 minutes, 52 seconds 934,092 views","14 minutes, 52 seconds",https://www.youtube.com/watch?v=MoeQlmeJnPg,,,,,,,,,
video,HGOBQPFzWKo,Intermediate Python Programming Course,8 months ago,5:55:47,"746,849 views",746K views,https://i.ytimg.com/vi/HGOBQPFzWKo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDO1ErlMeIWpAGvYrWWW10l4NCAzA,360,202,https://i.ytimg.com/vi/HGOBQPFzWKo/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCEYVC6eRlCzZ1s5pDKOnOJEWpV_A,720.0,404.0,https://i.ytimg.com/an_webp/HGOBQPFzWKo/mqdefault_6s.webp?du=3000&sqp=CN60-4QG&rs=AOn4CLDr7GfwJDD24cWVmmEq6kky3djpHg,320.0,180.0,,freeCodeCamp.org,UC8butISFwT-Wl7EV0hUK0BQ,https://yt3.ggpht.com/ytc/AAUvwnifaQZvAunS0OFb2y_cieoVjLCVjqQW8Exf3BC1gg=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,"Intermediate Python Programming Course by freeCodeCamp.org 8 months ago 5 hours, 55 minutes 746,849 views","5 hours, 55 minutes, 47 seconds",https://www.youtube.com/watch?v=HGOBQPFzWKo,,,,,,,,,
video,mhdExzt7AnU,Learn Python In Tamil | Beginner to Advance Complete guide | Tamil Hacks,1 year ago,3:37:14,"666,000 views",666K views,https://i.ytimg.com/vi/mhdExzt7AnU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDGzDxWDS0-HYVXyOhL-5GfaCSUBA,360,202,https://i.ytimg.com/vi/mhdExzt7AnU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmaUqPRWoPzXJrb1EwxWn73RV34g,720.0,404.0,,,,,Tamil Hacks 2.0,UCXZTnQ3pmX29VbQ1-XbhLsw,https://yt3.ggpht.com/ytc/AAUvwngNJ8YMh4olnAGo7FmZjSOl5yTKVDEhfKDuQGut=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UCXZTnQ3pmX29VbQ1-XbhLsw,"Learn Python In Tamil | Beginner to Advance Complete guide | Tamil Hacks by Tamil Hacks 2.0 1 year ago 3 hours, 37 minutes 666,000 views","3 hours, 37 minutes, 14 seconds",https://www.youtube.com/watch?v=mhdExzt7AnU,,,,,,,,,
video,_PDEaHgtJF0,Python For Data Science | Demo Session | On 14-05-2021 | by Durga Sir,14 hours ago,59:54,"1,045 views",1K views,https://i.ytimg.com/vi/_PDEaHgtJF0/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBANdt7t0Aeoww2JMFS5W-L9Ww0Iw,480,270,,,,,,,,Durga Software Solutions,UCbjozK_PYCTLEluFlrJ8UZg,https://yt3.ggpht.com/ytc/AAUvwnj3zg3JtbAZeuK-PSm_QR2cf30wIDbp9SlML9JvSA=s68-c-k-c0x00ffffff-no-rj,68.0,68.0,https://www.youtube.com/channel/UCbjozK_PYCTLEluFlrJ8UZg,"Python For Data Science | Demo Session | On 14-05-2021 | by Durga Sir by Durga Software Solutions 14 hours ago 59 minutes 1,045 views","59 minutes, 54 seconds",https://www.youtube.com/watch?v=_PDEaHgtJF0,,,,,,,,,
